date,sku,quantity,revenue,platform
2025-09-07,SKU-039,5,156,Shopify
2026-01-22,SKU-041,3,66,eBay
2025-11-22,SKU-023,3,752,Temu
2025-05-18,SKU-042,4,43,Amazon
2025-06-04,SKU-022,1,160,Walmart
2025-09-15,SKU-015,4,1043,Walmart
2025-05-23,SKU-056,4,205,Amazon
2025-07-24,SKU-045,1,550,Shopify
2025-10-17,SKU-038,4,242,eBay
2026-04-25,SKU-008,4,106,Walmart
2025-05-20,SKU-046,5,765,Amazon
2025-08-07,SKU-048,3,224,eBay
2025-11-16,SKU-059,3,146,Amazon
2026-01-31,SKU-008,1,79,Shopify
2025-10-30,SKU-035,5,100,eBay
2025-08-29,SKU-018,4,270,Amazon
2026-01-16,SKU-023,4,875,Walmart
2025-08-04,SKU-028,3,112,Walmart
2025-07-02,SKU-059,5,181,Amazon
2025-07-16,SKU-060,5,124,Shopify
2026-04-02,SKU-030,4,162,Temu
2025-07-26,SKU-014,5,530,Temu
2025-10-30,SKU-011,1,346,Temu
2025-12-14,SKU-011,1,220,Shopify
2025-05-18,SKU-044,4,45,eBay
2026-01-25,SKU-033,1,304,Temu
2025-12-12,SKU-057,5,482,Walmart
2026-04-23,SKU-027,2,109,Walmart
2026-04-18,SKU-010,5,119,Shopify
2025-07-02,SKU-054,2,741,Temu
2025-12-07,SKU-018,2,170,Amazon
2025-11-22,SKU-044,2,44,eBay
2025-10-08,SKU-033,4,352,Shopify
2025-06-18,SKU-008,3,110,Temu
2025-09-29,SKU-031,5,113,Temu
2026-04-19,SKU-019,3,225,Walmart
2025-11-04,SKU-001,4,191,Temu
2026-02-20,SKU-054,5,799,Temu
2025-06-17,SKU-023,2,629,eBay
2026-02-10,SKU-054,4,921,Temu
2026-01-22,SKU-031,2,96,Walmart
2026-01-17,SKU-023,1,718,Walmart
2025-10-22,SKU-058,4,570,Shopify
2025-12-21,SKU-020,2,245,Temu
2025-12-02,SKU-055,3,112,Temu
2025-07-20,SKU-028,4,81,eBay
2025-07-26,SKU-018,1,187,eBay
2025-11-06,SKU-001,4,193,Walmart
2025-08-04,SKU-043,1,49,Temu
2025-09-04,SKU-038,5,225,Amazon
2026-04-12,SKU-059,4,149,eBay
2025-09-14,SKU-051,2,112,Temu
2025-08-16,SKU-025,2,611,eBay
2026-03-07,SKU-015,4,845,Temu
2026-04-07,SKU-056,2,119,eBay
2025-09-08,SKU-011,2,221,eBay
2025-07-26,SKU-030,3,168,Temu
2026-04-29,SKU-057,3,381,Temu
2026-02-20,SKU-013,1,392,Amazon
2025-10-17,SKU-040,2,179,eBay
2026-02-16,SKU-036,3,116,Shopify
2025-06-05,SKU-024,4,493,Temu
2026-03-01,SKU-033,2,376,Temu
2026-05-06,SKU-035,2,79,Amazon
2025-11-14,SKU-022,1,109,Walmart
2025-08-27,SKU-012,2,299,Amazon
2025-07-29,SKU-014,4,509,Walmart
2026-04-24,SKU-029,1,156,Temu
2025-10-12,SKU-050,3,53,Temu
2026-01-12,SKU-053,2,718,Amazon
2025-08-20,SKU-008,3,119,Walmart
2026-01-27,SKU-039,3,187,Temu
2025-10-06,SKU-018,4,176,eBay
2026-02-04,SKU-031,2,100,Amazon
2025-11-29,SKU-007,5,122,Amazon
2026-02-11,SKU-021,1,132,Amazon
2026-04-02,SKU-035,2,108,eBay
2026-03-20,SKU-023,3,660,Temu
2026-03-16,SKU-051,4,100,Temu
2025-12-31,SKU-040,5,129,Amazon
2026-03-08,SKU-001,4,238,eBay
2025-09-02,SKU-002,1,256,Shopify
2025-12-31,SKU-052,4,104,Shopify
2025-10-07,SKU-030,4,196,eBay
2026-04-09,SKU-001,2,159,Amazon
2026-03-28,SKU-015,1,1232,Shopify
2025-12-18,SKU-001,1,217,Amazon
2025-11-24,SKU-039,4,147,Amazon
2025-09-28,SKU-040,3,109,Walmart
2025-11-09,SKU-041,1,75,Walmart
2026-04-18,SKU-050,5,68,eBay
2025-12-29,SKU-013,1,488,eBay
2025-12-28,SKU-033,5,373,Walmart
2025-11-06,SKU-052,1,82,Walmart
2026-02-18,SKU-046,1,546,eBay
2025-05-22,SKU-007,5,94,Temu
2026-02-21,SKU-039,4,157,Walmart
2025-12-03,SKU-023,2,725,Shopify
2025-12-07,SKU-037,4,205,Amazon
2025-10-21,SKU-047,5,322,Shopify
2025-06-21,SKU-039,4,135,Shopify
2025-09-08,SKU-019,5,232,Temu
2025-12-24,SKU-019,4,208,Walmart
2025-06-01,SKU-046,5,664,Walmart
2025-05-16,SKU-037,4,157,Amazon
2025-12-02,SKU-014,5,348,Walmart
2026-01-18,SKU-058,4,640,Amazon
2026-03-03,SKU-024,5,624,eBay
2026-03-14,SKU-004,4,294,Walmart
2025-11-01,SKU-001,3,250,Temu
2025-08-18,SKU-055,3,191,Shopify
2025-08-25,SKU-056,1,159,Shopify
2026-01-23,SKU-041,5,65,Temu
2025-07-06,SKU-030,5,174,Shopify
2026-02-15,SKU-045,2,498,Amazon
2025-12-20,SKU-002,5,224,Temu
2025-06-11,SKU-033,1,385,eBay
2025-08-13,SKU-040,5,116,Temu
2025-08-02,SKU-004,4,303,Walmart
2026-01-20,SKU-007,1,89,Temu
2026-05-15,SKU-036,1,103,eBay
2025-10-20,SKU-007,3,70,eBay
2025-08-02,SKU-057,2,445,Temu
2026-03-06,SKU-060,4,166,eBay
2026-03-10,SKU-006,1,345,eBay
2025-07-30,SKU-036,4,102,eBay
2026-02-18,SKU-014,1,337,eBay
2025-09-13,SKU-035,5,110,Walmart
2025-07-28,SKU-056,2,136,Walmart
2025-05-28,SKU-033,1,369,Shopify
2026-01-03,SKU-054,4,1110,eBay
2026-02-24,SKU-060,2,154,Amazon
2025-07-11,SKU-009,4,104,Walmart
2025-08-23,SKU-027,3,97,Walmart
2025-06-25,SKU-059,1,158,Shopify
2025-09-09,SKU-002,4,232,Shopify
2025-08-23,SKU-012,4,236,Walmart
2025-12-11,SKU-046,3,488,Temu
2026-01-09,SKU-051,2,63,Walmart
2025-10-19,SKU-036,3,136,Amazon
2026-04-27,SKU-037,5,238,eBay
2026-03-05,SKU-048,3,237,eBay
2026-04-27,SKU-033,4,262,Walmart
2025-09-08,SKU-042,1,45,Temu
2025-05-29,SKU-046,2,464,Walmart
2026-02-01,SKU-025,4,421,Walmart
2025-12-30,SKU-043,1,42,Temu
2026-05-12,SKU-010,2,121,eBay
